sample,batch,class,order
HX1,1,Group A,1
HX3,1,Group A,2
HX5,1,Group A,3
HX7,1,Group A,4
HX8,1,Group A,5
HX9,1,Group A,6
HX10,1,Group A,7
HX12,1,Group A,8
HX13,1,Group A,9
HX15,1,Group A,10
HX16,1,Group A,11
HX25,1,Group A,12
HX33,1,Group A,13
HX34,1,Group A,14
HX35,1,Group A,15
HX47,1,Group A,16
HX48,1,Group A,17
HX52,1,Group A,18
HX56,1,Group A,19
HX57,1,Group A,20
HX60,1,Group A,21
HX61,1,Group A,22
HX2,1,Group B,23
HX4,1,Group B,24
HX14,1,Group B,25
HX17,1,Group B,26
HX18,1,Group B,27
HX19,1,Group B,28
HX22,1,Group B,29
HX23,1,Group B,30
HX24,1,Group B,31
HX26,1,Group B,32
HX27,1,Group B,33
HX29,1,Group B,34
HX31,1,Group B,35
HX37,1,Group B,36
HX42,1,Group B,37
HX43,1,Group B,38
HX44,1,Group B,39
HX46,1,Group B,40
HX49,1,Group B,41
HX51,1,Group B,42
HX53,1,Group B,43
HX59,1,Group B,44
HX6,1,Group C,45
HX11,1,Group C,46
HX20,1,Group C,47
HX21,1,Group C,48
HX28,1,Group C,49
HX30,1,Group C,50
HX32,1,Group C,51
HX36,1,Group C,52
HX38,1,Group C,53
HX39,1,Group C,54
HX40,1,Group C,55
HX41,1,Group C,56
HX45,1,Group C,57
HX50,1,Group C,58
HX54,1,Group C,59
HX55,1,Group C,60
HX58,1,Group C,61
